Acrobolbus,顶苞苔属
Fimbristylis schoenoides,少穗飘拂草
Fimbristylis sericea,绢毛飘拂草
Fimbristylis shimadana,白穗飘拂草
Fimbristylis sieboldii,锈鳞飘拂草
Fimbristylis sieboldii var. anpinensis,安平飘拂草
Fimbristylis sieboldii var. sieboldii,锈鳞飘拂草(原变种)
Fimbristylis simaoensis,思茅飘拂草
Fimbristylis squarrosa,畦畔飘拂草
Fimbristylis squarrosa var. esquarrosa,短尖飘拂草
Fimbristylis squarrosa var. squarrosa,畦畔飘拂草(原变种)
Fimbristylis stauntonii,烟台飘拂草
Fimbristylis stolonifera,匍匐茎飘拂草
Fimbristylis stolonifera var. cylindrica,匍匐飘拂草
Fimbristylis subbispicata,双穗飘拂草
Fimbristylis subinclinata,知本飘拂草
Fimbristylis tainanensis,台南飘拂草
Fimbristylis tetragona,四棱飘拂草
Fimbristylis thomsonii,西南飘拂草
Fimbristylis tristachya,三穗飘拂草
Fimbristylis umbellaris,伞形飘拂草
Fuirena ciliaris,毛芙兰草
Fuirena rhizomatifera,黔芙兰草
Fuirena umbellata,芙兰草
Gahnia baniensis,散穗黑莎草
Gahnia javanica,爪哇黑莎草
Gahnia tristis,黑莎草
Hypolytrum hainanense,海南割鸡芒
Hypolytrum nemorum,割鸡芒
Hypolytrum paucistrobiliferum,少穗割鸡芒
Hypolytrum shurenii,树仁割鸡芒
Isolepis setacea,细莞
Kyllinga brevifolia,短叶水蜈蚣
Kyllinga brevifolia var. brevifolia,短叶水蜈蚣(原变种)
Kyllinga brevifolia var. brevifolia f. brevifolia,短叶水蜈蚣(原变型)
Kyllinga brevifolia var. brevifolia f. pumila,矮短叶水蜈蚣
Kyllinga brevifolia var. leiolepis,无刺鳞水蜈蚣
Kyllinga brevifolia var. stellulata,小星穗水蜈蚣
Kyllinga brevifolia var. yunnanensis,云南短叶水蜈蚣
Kyllinga bulbosa,三头水蜈蚣
Kyllinga cylindrica,圆筒穗水蜈蚣
Kyllinga melanosperma,黑籽水蜈蚣
Kyllinga nemoralis,单穗水蜈蚣
Kyllinga polyphylla,水蜈蚣
Kyllinga squamulata,冠鳞水蜈蚣
Lepidosperma chinense,鳞籽莎
Lepironia articulata,石龙刍
Lipocarpha chinensis,华湖瓜草
Lipocarpha microcephala,湖瓜草
Lipocarpha squarrosa,毛毯湖瓜草
Lipocarpha tenera,细秆湖瓜草
Machaerina ensigera,剑叶莎
Machaerina myriantha,多花剑叶莎
Machaerina rubiginosa,圆叶剑叶莎
Mapania silhetensis,华擂鼓簕
Mapania sumatrana subsp. pandanophylla,露兜树叶野长蒲
Mapania wallichii,单穗擂鼓簕
Pycreus delavayi,黑鳞扁莎
Pycreus diaphanus,宽穗扁莎
Pycreus flavidus,球穗扁莎
Pycreus flavidus var. flavidus,球穗扁莎(原变种)
Pycreus flavidus var. minimus,矮球穗扁莎
Pycreus flavidus var. nilagiricus,小球穗扁莎
Pycreus flavidus var. strictus,直球穗扁莎
Pycreus lijiangensis,丽江扁莎
Pycreus pseudolatespicatus,拟宽穗扁莎
Pycreus pumilus,矮扁莎
Pycreus sanguinolentus,红鳞扁莎
Pycreus setiformis,东北扁莎
Pycreus sulcinux,槽果扁莎
Pycreus unioloides,禾状扁莎
Remirea maritima,海滨莎
Rhynchospora alba,白鳞刺子莞
Rhynchospora chinensis,华刺子莞
Rhynchospora corymbosa,三俭草
Rhynchospora faberi,细叶刺子莞
Rhynchospora gracillima,柔弱刺子莞
Rhynchospora malasica,日本刺子莞
Rhynchospora rubra,刺子莞
Rhynchospora rugosa,皱刺子莞
Rhynchospora rugosa subsp. brownii,白喙刺子莞
Rhynchospora submarginata,类缘刺子莞
Schoenoplectiella articulata,节苞萤蔺
Schoenoplectiella juncoides,萤蔺
Schoenoplectiella lateriflora,稻田萤蔺
Schoenoplectiella mucronata,水毛花
Schoenoplectiella supina,仰卧秆萤蔺
Schoenoplectiella trapezoidea,五棱萤蔺
Schoenoplectiella wallichii,猪毛草
Schoenoplectus chen-moui,陈谋水葱
Schoenoplectus chuanus,曲氏水葱
Schoenoplectus clemensii,佛海水葱
Schoenoplectus ehrenbergii,剑苞水葱
Schoenoplectus fuscorubens,褐红鳞水葱
Schoenoplectus gemmifer,穗芽水葱
Schoenoplectus hotarui,细秆萤蔺
Schoenoplectus jingmenensis,荆门水葱
Schoenoplectus komarovii,吉林水葱
Schoenoplectus lacustris,沼生水葱
Schoenoplectus lineolatus,细匍匐茎水葱
Schoenoplectus litoralis,羽状刚毛水葱
Schoenoplectus monocephalus,单穗水葱
Schoenoplectus nipponicus,三江藨草
Schoenoplectus schoofii,滇水葱
Schoenoplectus subulatus,钻苞水葱
Schoenoplectus supinus subsp. supinus,仰卧秆水葱(原亚种)
Schoenoplectus tabernaemontani,水葱
Schoenoplectus triqueter,三棱水葱
Schoenoplectus × intermedius,中间水葱
Schoenus apogon,矮赤箭莎
Schoenus calostachyus,长穗赤箭莎
Schoenus falcatus,赤箭莎
Schoenus nudifructus,无刚毛赤箭莎
Scirpus chunianus,陈氏藨草
Scirpus filipes,细枝藨草
Scirpus filipes var. filipes,细枝藨草(原变种)
Scirpus filipes var. paucispiculatus,少穗细枝藨草
Scirpus hainanensis,海南藨草
Scirpus karuisawensis,华东藨草
Scirpus lushanensis,庐山藨草
Scirpus maximowiczii,佛焰苞藨草
Scirpus orientalis,东方藨草
Scirpus paniculatocorymbosus,高山藨草
Scirpus radicans,东北藨草
Scirpus rosthornii,百球藨草
Scirpus ternatanus,百穗藨草
Scirpus wichurae,球穗藨草
Scleria biflora,二花珍珠茅
Scleria ciliaris,华珍珠茅
Scleria corymbosa,伞房珍珠茅
Scleria dulungensis,独龙珍珠茅
Scleria harlandii,圆秆珍珠茅
Scleria hookeriana,黑鳞珍珠茅
Scleria jiangchengensis,江城珍珠茅
Scleria laxa,疏松珍珠茅
Scleria levis,毛果珍珠茅
Scleria lithosperma,石果珍珠茅
Scleria lithosperma subsp. linearis,线叶珍珠茅
Scleria lithosperma subsp. lithosperma,石果珍珠茅(原亚种)
Scleria neesii,柄果珍珠茅
Scleria novae-hollandiae,角架珍珠茅
Scleria oblata,扁果珍珠茅
Scleria parvula,小型珍珠茅
Scleria pergracilis,纤秆珍珠茅
Scleria poiformis,稻形珍珠茅
Scleria psilorrhiza,细根茎珍珠茅
Scleria purpurascens,紫花珍珠茅
Scleria radula,光果珍珠茅
Scleria rugosa,垂序珍珠茅
Scleria scrobiculata,轮叶珍珠茅
Scleria sumatrensis,印尼珍珠茅
Scleria terrestris,高秆珍珠茅
Scleria tonkinensis,越南珍珠茅
Sumatroscirpus rupestris,岩生苏门莎
Trichophorum alpinum,蔺藨草
Trichophorum distigmaticum,双柱头蔺藨草
Trichophorum mattfeldianum,三棱蔺藨草
Trichophorum pumilum,矮蔺藨草
Trichophorum schansiense,太行山蔺藨草
Trichophorum subcapitatum,玉山蔺藨草
Tricostularia undulata,三肋莎
× Bolboschoenoplectus mariqueter,海三棱藨草
Daphniphyllum,虎皮楠属
Daphniphyllum angustifolium,狭叶虎皮楠
Daphniphyllum calycinum,牛耳枫
Daphniphyllum chartaceum,纸叶虎皮楠
Daphniphyllum himalense,西藏虎皮楠
Daphniphyllum longeracemosum,长序虎皮楠
Daphniphyllum macropodum,交让木
Daphniphyllum majus,大叶虎皮楠
Daphniphyllum oldhamii,虎皮楠
Daphniphyllum paxianum,脉叶虎皮楠
Daphniphyllum subverticillatum,假轮叶虎皮楠
Berneuxia,岩匙属
Diapensia,岩梅属
Shortia,岩扇属
Berneuxia thibetica,岩匙
Diapensia himalaica,喜马拉雅岩梅
Diapensia purpurea,红花岩梅
Diapensia wardii,西藏岩梅
Shortia rotundifolia,台湾岩扇
Shortia sinensis,华岩扇
Dichapetalum,毒鼠子属
Dichapetalum gelonioides,毒鼠子
Dichapetalum longipetalum,海南毒鼠子
Dillenia,五桠果属
Tetracera,锡叶藤属
Dillenia indica,五桠果
Dillenia pentagyna,小花五桠果
Dillenia turbinata,大花五桠果
Tetracera sarmentosa,锡叶藤
Tetracera scandens,毛果锡叶藤
Tetracera xui,勐腊锡叶藤
Dioscorea,薯蓣属
Schizocapsa,裂果薯属
Tacca,蒟蒻薯属
Dioscorea alata,参薯
Dioscorea althaeoides,蜀葵叶薯蓣
Dioscorea aspersa,丽叶薯蓣
Dioscorea banzhuana,板砖薯蓣
Dioscorea benthamii,大青薯
Dioscorea bicolor,尖头果薯蓣
Dioscorea biformifolia,异叶薯蓣
Dioscorea birmanica,独龙薯蓣
Dioscorea bulbifera,黄独
Dioscorea bulbifera var. albotuberosa,白金山药
Dioscorea bulbifera var. bulbifera,黄独(原变种)
Dioscorea chingii,山葛薯
Dioscorea cirrhosa,薯莨
Dioscorea cirrhosa var. cirrhosa,薯莨(原变种)
Dioscorea cirrhosa var. cylindrica,异块茎薯莨
Dioscorea collettii,叉蕊薯蓣
Dioscorea collettii var. collettii,叉蕊薯蓣(原变种)
Dioscorea collettii var. hypoglauca,粉背薯蓣
Dioscorea cumingii,吕宋薯蓣
Dioscorea decipiens,多毛叶薯蓣
Dioscorea decipiens var. decipiens,多毛叶薯蓣(原变种)
Dioscorea decipiens var. glabrescens,滇薯
Dioscorea delavayi,高山薯蓣
Dioscorea deltoidea,三角叶薯蓣
Dioscorea esculenta,甘薯
Dioscorea esculenta var. esculenta,甘薯(原变种)
Dioscorea esculenta var. spinosa,有刺甘薯
Dioscorea esquirolii,七叶薯蓣
Dioscorea exalata,无翅参薯
Dioscorea fordii,山薯
Dioscorea futschauensis,福州薯蓣
Dioscorea garrettii,宽果薯蓣
Dioscorea glabra,光叶薯蓣
Dioscorea gracillima,纤细薯蓣
Dioscorea hemsleyi,黏山药
Dioscorea hispida,白薯莨
Dioscorea japonica,日本薯蓣
Dioscorea japonica var. japonica,日本薯蓣(原变种)
Dioscorea japonica var. oldhamii,细叶日本薯蓣
Dioscorea japonica var. pilifera,毛藤日本薯蓣
Dioscorea kamoonensis,毛芋头薯蓣
Dioscorea linearicordata,柳叶薯蓣
Dioscorea martini,柔毛薯蓣
Dioscorea melanophyma,黑珠芽薯蓣
Dioscorea menglaensis,石山薯蓣
Dioscorea nipponica,穿龙薯蓣
Dioscorea nipponica subsp. rosthornii,柴黄姜
Dioscorea nipponica var. nipponica,穿龙薯蓣(原变种)
Dioscorea nitens,光亮薯蓣
Dioscorea panthaica,黄山药
Dioscorea pentaphylla,五叶薯蓣
Dioscorea persimilis,褐苞薯蓣
Dioscorea persimilis var. persimilis,褐苞薯蓣(原变种)
Dioscorea persimilis var. pubescens,毛褐苞薯蓣
Dioscorea poilanei,吊罗薯蓣
Dioscorea polystachya,薯蓣
Dioscorea scortechinii,刺薯蓣
Dioscorea scortechinii var. parviflora,小花刺薯蓣
Dioscorea simulans,马肠薯蓣
Dioscorea sinoparviflora,小花盾叶薯蓣
Dioscorea spongiosa,绵萆薢
Dioscorea subcalva,毛胶薯蓣
Dioscorea subcalva var. subcalva,毛胶薯蓣(原变种)
Dioscorea subcalva var. submollis,略毛薯蓣
Dioscorea tentaculigera,卷须状薯蓣
Dioscorea tenuipes,细柄薯蓣
Dioscorea tokoro,山萆薢
Dioscorea velutipes,毡毛薯蓣
Dioscorea wallichii,盈江薯蓣
Dioscorea xizangensis,藏刺薯蓣
Dioscorea yunnanensis,云南薯蓣
Dioscorea zingiberensis,盾叶薯蓣
Schizocapsa guangxiensis,广西裂果薯
Schizocapsa plantaginea,裂果薯
Tacca ampliplacenta,白柄箭根薯
Tacca chantrieri,箭根薯
Tacca integrifolia,丝须蒟蒻薯
Tacca leontopetaloides,蒟蒻薯
Tacca subflabellata,扇苞蒟蒻薯
Dipentodon,十齿花属
Perrottetia,核子木属
Dipentodon sinicus,十齿花
Perrottetia arisanensis,台湾核子木
Perrottetia racemosa,核子木
Perrottetia taronensis,独龙江核子木
Dipterocarpus,龙脑香属
Hopea,坡垒属
Parashorea,柳安属
Shorea,娑罗双属
Vatica,青梅属
Dipterocarpus gracilis,纤细龙脑香
Dipterocarpus retusus,东京龙脑香
Dipterocarpus retusus var. macrocarpus,多毛东京龙脑香
Dipterocarpus turbinatus,羯布罗香
Hopea chinensis,狭叶坡垒
Hopea hainanensis,坡垒
Hopea hongayensis,河内坡垒
Hopea reticulata,铁凌
Hopea shingkeng,西藏坡垒
Parashorea chinensis,望天树
Shorea assamica,云南娑罗双
Shorea robusta,娑罗双
Vatica guangxiensis,广西青梅
Vatica lanceifolia,西藏青梅
Vatica mangachapoi,青梅
Vatica mangachapoi var. wanningensis,万宁青梅
Aldrovanda,貉藻属
Drosera,茅膏菜属
Aldrovanda vesiculosa,貉藻
Drosera anglica,英国茅膏菜
Drosera burmannii,锦地罗
Drosera indica,长叶茅膏菜
Drosera oblanceolata,长柱茅膏菜
Drosera peltata,茅膏菜
Drosera rotundifolia,圆叶茅膏菜
Drosera spatulata,匙叶茅膏菜
Diospyros,柿属
Diospyros anisocalyx,异萼柿
Diospyros armata,瓶兰花
Diospyros balfouriana,大理柿
Diospyros caloneura,美脉柿
Diospyros cathayensis,乌柿
Diospyros chunii,崖柿
Diospyros corallina,五蒂柿
Diospyros danxiaensis,丹霞柿
Diospyros dilversilimba,光叶柿
Diospyros dumetorum,岩柿
Diospyros ehretioides,红枝柿
Diospyros eriantha,乌材
Diospyros esquirolii,贵阳柿
Diospyros fanjingshanica,梵净山柿
Diospyros fengii,老君柿
Diospyros ferrea,象牙树
Diospyros forrestii,腾冲柿
Diospyros hainanensis,海南柿
Diospyros hasseltii,黑毛柿
Diospyros hexamera,六花柿
Diospyros howii,琼南柿
Diospyros inflata,囊萼柿
Diospyros japonica,山柿
Diospyros kaki,柿
Diospyros kaki var. macrantha,大花柿
Diospyros kaki var. silvestris,野柿
Diospyros kerrii,傣柿
Diospyros kintungensis,景东君迁子
Diospyros kotoensis,兰屿柿
Diospyros longibracteata,长苞柿
Diospyros longshengensis,龙胜柿
Diospyros lotus,君迁子
Diospyros lotus var. mollissima,多毛君迁子
Diospyros maclurei,琼岛柿
Diospyros maritima,海边柿
Diospyros metcalfii,圆萼柿
Diospyros miaoshanica,苗山柿
Diospyros minutisepala,小萼柿
Diospyros morrisiana,罗浮柿
Diospyros nigricortex,黑皮柿
Diospyros nitida,黑柿
Diospyros oldhamii,红柿
Diospyros oleifera,油柿
Diospyros oliviformis,榄果柿
Diospyros philippensis,异色柿
Diospyros potingensis,保亭柿
Diospyros punctilimba,点叶柿
Diospyros reticulinervis,网脉柿
Diospyros reticulinervis var. glabrescens,无毛网脉柿
Diospyros rhombifolia,老鸦柿
Diospyros rubra,青茶柿
Diospyros saxatilis,石山柿
Diospyros saxicola,石生柿
Diospyros sichourensis,西畴君迁子
Diospyros siderophylla,山榄叶柿
Diospyros strigosa,毛柿
Diospyros sunyiensis,信宜柿
Diospyros susarticulata,过布柿
Diospyros sutchuensis,川柿
Diospyros tsangii,延平柿
Diospyros tutcheri,岭南柿
Diospyros unisemina,单子柿
Diospyros vaccinioides,小果柿
Diospyros xiangguiensis,湘桂柿
Diospyros xishuangbannaensis,版纳柿
Diospyros xylocarpa,木果柿
Diospyros yunnanensis,云南柿
Diospyros zhejiangensis,浙江光叶柿
Diospyros zhenfengensis,贞丰柿
Elaeagnus,胡颓子属
Hippophae,沙棘属
Elaeagnus angustata,窄叶木半夏
Elaeagnus angustata var. angustata,窄叶木半夏(原变种)
Elaeagnus angustata var. songmingensis,嵩明木半夏
Elaeagnus angustifolia,沙枣
Elaeagnus angustifolia var. angustifolia,沙枣(原变种)
Elaeagnus angustifolia var. orientalis,东方沙枣
Elaeagnus argyi,佘山羊奶子
Elaeagnus bambusetorum,竹生羊奶子
Elaeagnus bockii,长叶胡颓子
Elaeagnus bockii var. bockii,长叶胡颓子(原变种)
Elaeagnus bockii var. muliensis,木里胡颓子
Elaeagnus calcarea,石山胡颓子
Elaeagnus cinnamomifolia,樟叶胡颓子
Elaeagnus conferta,密花胡颓子
Elaeagnus conferta var. conferta,密花胡颓子(原变种)
Elaeagnus conferta var. menghaiensis,勐海胡颓子
Elaeagnus courtoisii,毛木半夏
Elaeagnus davidii,四川胡颓子
Elaeagnus delavayi,长柄胡颓子
Elaeagnus difficilis,巴东胡颓子
Elaeagnus difficilis var. brevistyla,短柱胡颓子
Elaeagnus difficilis var. difficilis,巴东胡颓子(原变种)
Elaeagnus formosana,台湾胡颓子
Elaeagnus formosensis,蓬莱胡颓子
Elaeagnus geniculata,膝柱胡颓子
Elaeagnus glabra,蔓胡颓子
Elaeagnus gonyanthes,角花胡颓子
Elaeagnus gradifolia,慈恩胡颓子
Elaeagnus griffithii,钟花胡颓子
Elaeagnus griffithii var. griffithii,钟花胡颓子(原变种)
Elaeagnus griffithii var. multiflora,那坡胡颓子
Elaeagnus griffithii var. pauciflora,少花胡颓子
Elaeagnus grijsii,多毛羊奶子
Elaeagnus guizhouensis,贵州羊奶子
Elaeagnus henryi,宜昌胡颓子
Elaeagnus heterophylla,异叶胡颓子
Elaeagnus hunanensis,湖南胡颓子
Elaeagnus jiangxiensis,江西羊奶子
Elaeagnus jingdonensis,景东羊奶子
Elaeagnus lanceolata,披针叶胡颓子
Elaeagnus lanpingensis,兰坪胡颓子
Elaeagnus lipoensis,荔波胡颓子
Elaeagnus liuzhouensis,柳州胡颓子
Elaeagnus longiloba,长裂胡颓子
Elaeagnus loureiroi,鸡柏紫藤
Elaeagnus luoxiangensis,罗香胡颓子
Elaeagnus luxiensis,潞西胡颓子
Elaeagnus macrantha,大花胡颓子
Elaeagnus macrophylla,大叶胡颓子
Elaeagnus magna,银果牛奶子
Elaeagnus magna var. magna,银果牛奶子(原变种)
Elaeagnus magna var. nanchuanensis,南川牛奶子
Elaeagnus magna var. wushanensis,巫山牛奶子
Elaeagnus micrantha,小花羊奶子
Elaeagnus mollis,翅果油树
Elaeagnus multiflora,木半夏
Elaeagnus multiflora var. multiflora,木半夏(原变种)
Elaeagnus multiflora var. obovoidea,倒果木半夏
Elaeagnus multiflora var. siphonantha,长萼木半夏
Elaeagnus multiflora var. tenuipes,细枝木半夏
Elaeagnus obovatifolia,弄化胡颓子
Elaeagnus obtusa,钝叶胡颓子
Elaeagnus oldhamii,福建胡颓子
Elaeagnus ovata,卵叶胡颓子
Elaeagnus oxycarpa,尖果沙枣
Elaeagnus pallidiflora,白花胡颓子
Elaeagnus pilostyla,毛柱胡颓子
Elaeagnus pingnanensis,平南胡颓子
Elaeagnus pungens,胡颓子
Elaeagnus retrostyla,卷柱胡颓子
Elaeagnus s-stylata,之形柱胡颓子
Elaeagnus sarmentosa,攀缘胡颓子
Elaeagnus schlechtendalii,小胡颓子
Elaeagnus stellipila,星毛羊奶子
Elaeagnus taliensis,大理胡颓子
Elaeagnus tarokoensis,太鲁阁胡颓子
Elaeagnus thunbergii,薄叶胡颓子
Elaeagnus tonkinensis,越南胡颓子
Elaeagnus triflora,菲律宾胡颓子
Elaeagnus tubiflora,管花胡颓子
Elaeagnus tutcheri,香港胡颓子
Elaeagnus umbellata,牛奶子
Elaeagnus viridis,绿叶胡颓子
Elaeagnus wenshanensis,文山胡颓子
Elaeagnus xichouensis,西畴胡颓子
Elaeagnus xingwenensis,兴文胡颓子
Elaeagnus xizangensis,西藏胡颓子
Elaeagnus yunnanensis,云南胡颓子
Hippophae goniocarpa,棱果沙棘
Hippophae gyantsensis,江孜沙棘
Hippophae litangensis,理塘沙棘
Hippophae neurocarpa,肋果沙棘
Hippophae neurocarpa subsp. neurocarpa,肋果沙棘(原亚种)
Hippophae neurocarpa subsp. stellatopilosa,密毛肋果沙棘
Hippophae rhamnoides,沙棘
Hippophae rhamnoides subsp. mongolica,蒙古沙棘
Hippophae rhamnoides subsp. sinensis,中国沙棘
Hippophae rhamnoides subsp. turkestanica,中亚沙棘
Hippophae rhamnoides subsp. wolongensis,卧龙沙棘
Hippophae rhamnoides subsp. yunnanensis,云南沙棘
Hippophae salicifolia,柳叶沙棘
Hippophae tibetana,西藏沙棘
Elaeocarpus,杜英属
Sloanea,猴欢喜属
Elaeocarpus angustifolius,狭叶杜英
Elaeocarpus argenteus,腺叶杜英
Elaeocarpus atropunctatus,黑腺杜英
Elaeocarpus auricomus,金毛杜英
Elaeocarpus austroyunnanensis,滇南杜英
Elaeocarpus bachmaensis,少花杜英
Elaeocarpus balansae,大叶杜英
Elaeocarpus braceanus,滇藏杜英
Elaeocarpus brachystachyus,短穗杜英
Elaeocarpus brachystachyus var. brachystachyus,短穗杜英(原变种)
Elaeocarpus brachystachyus var. fengii,贡山杜英
Elaeocarpus chinensis,中华杜英
Elaeocarpus decanclrus,缘瓣杜英
Elaeocarpus decipiens,杜英
Elaeocarpus decipiens var. changii,兰屿杜英
Elaeocarpus decipiens var. decipiens,杜英(原变种)
Elaeocarpus dianxiensis,滇西杜英
Elaeocarpus dubius,显脉杜英
Elaeocarpus duclouxii,褐毛杜英
Elaeocarpus duclouxii var. duclouxii,冬桃
Elaeocarpus duclouxii var. funingensis,富宁杜英
Elaeocarpus gaoligongshanensis,高黎贡杜英
Elaeocarpus glabripetalus,秃瓣杜英
Elaeocarpus glabripetalus var. alatus,棱枝杜英
Elaeocarpus glabripetalus var. glabripetalus,秃瓣杜英(原变种)
Elaeocarpus glabripetalus var. grandifructus,大果秃瓣杜英
Elaeocarpus gymnogynus,秃蕊杜英
Elaeocarpus hainanensis,水石榕
Elaeocarpus hainanensis var. brachyphyllus,短叶水石榕
Elaeocarpus hainanensis var. hainanensis,水石榕(原变种)
Elaeocarpus harmandii,肿柄杜英
Elaeocarpus hayatae,球果杜英
Elaeocarpus howii,锈毛杜英
Elaeocarpus japonicus,日本杜英
Elaeocarpus japonicus var. japonicus,日本杜英(原变种)
Elaeocarpus japonicus var. lantsangensis,澜沧杜英
Elaeocarpus japonicus var. yunnanensis,云南杜英
Elaeocarpus lacunosus,多沟杜英
Elaeocarpus lanceifolius,披针叶杜英
Elaeocarpus laoticus,老挝杜英
Elaeocarpus limitaneioides,小花杜英
Elaeocarpus limitaneus,灰毛杜英
Elaeocarpus longlingensis,龙陵杜英
Elaeocarpus multiflorus,繁花杜英
Elaeocarpus nitentifolius,绢毛杜英
Elaeocarpus oblongilimbus,长圆叶杜英
Elaeocarpus petiolatus,长柄杜英
Elaeocarpus poilanei,滇越杜英
Elaeocarpus prunifolioides,樱叶杜英
Elaeocarpus rugosus,毛果杜英
Elaeocarpus serratus,锡兰榄
Elaeocarpus sikkimensis,大果杜英
Elaeocarpus sphaericus,圆果杜英
Elaeocarpus sphaerocarpus,阔叶杜英
Elaeocarpus subpetiolatus,屏边杜英
Elaeocarpus sylvestris,山杜英
Elaeocarpus varunua,美脉杜英
Sloanea changii,樟叶猴欢喜
Sloanea chingiana,百色猴欢喜
Sloanea dasycarpa,膜叶猴欢喜
Sloanea hainanensis,海南猴欢喜
Sloanea hemsleyana,仿栗
Sloanea integrifolia,全叶猴欢喜
Sloanea leptocarpa,薄果猴欢喜
Sloanea longiaculeatae,长刺猴欢喜
Sloanea mollis,滇越猴欢喜
Sloanea sigun,斜脉猴欢喜
Sloanea sinensis,猴欢喜
Sloanea sterculiacea,苹婆猴欢喜
Sloanea sterculiacea var. assamica,长叶猴欢喜
Sloanea sterculiacea var. sterculiacea,苹婆猴欢喜(原变种)
Sloanea tomentosa,毛猴欢喜
Sloanea tomentosa var. cordifolia,心叶猴欢喜
Sloanea tomentosa var. tomentosa,毛猴欢喜(原变种)
Sloanea xichouensis,西畴猴欢喜
Bergia,田繁缕属
Elatine,沟繁缕属
Bergia ammannioides,田繁缕
Bergia capensis,大叶田繁缕
Bergia serrata,倍蕊田繁缕
Elatine ambigua,长梗沟繁缕
Elatine hydropiper,马蹄沟繁缕
Elatine triandra,三蕊沟繁缕
Agapetes,树萝卜属
Andromeda,青姬木属
Arctous,北极果属
Cassiope,岩须属
Chamaedaphne,地桂属
Cheilotheca,假水晶兰属
Chimaphila,喜冬草属
Craibiodendron,金叶子属
Diplarche,杉叶杜属
Empetrum,岩高兰属
Enkianthus,吊钟花属
Gaultheria,白珠属
Hypopitys,松下兰属
Leucothoe,木藜芦属
Lyonia,珍珠花属
Moneses,独丽花属
Monotropa,水晶兰属
Monotropastrum,假沙晶兰属
Orthilia,单侧花属
Phyllodoce,松毛翠属
Pieris,马醉木属
Pyrola,鹿蹄草属
Rhododendron,杜鹃花属
Therorhodion,云间杜鹃属
Vaccinium,越橘属
Agapetes aborensis,阿波树萝卜
Agapetes angulata,棱枝树萝卜
Agapetes anonyma,锈毛树萝卜
Agapetes brachypoda var. gracilis,纤细短柄树萝卜
Agapetes brandisiana,环萼树萝卜
Agapetes burmanica,缅甸树萝卜
Agapetes buxifolia,黄杨叶树萝卜
Agapetes camelliifolia,茶叶树萝卜
Agapetes ciliata,纤毛叶树萝卜
Agapetes discolor,异色树萝卜
Agapetes epacridea,尖叶树萝卜
Agapetes flava,黄花树萝卜
Agapetes forrestii,伞花树萝卜
Agapetes graciliflora,细花树萝卜
Agapetes griffithii,尾叶树萝卜
Agapetes guangxiensis,广西树萝卜
Agapetes heana,疆海树萝卜
Agapetes hyalocheilos,透明边树萝卜
Agapetes incurvata,皱叶树萝卜
Agapetes inopinata,沧源树萝卜
Agapetes interdicta,中型树萝卜
Agapetes lacei,灯笼花
Agapetes lacei var. glaberrima,无毛灯笼花
Agapetes lacei var. tomentella,绒毛灯笼花
Agapetes leiocarpa,光果树萝卜
Agapetes leucocarpa,白果树萝卜
Agapetes linearifolia,线叶树萝卜
Agapetes listeri,短锥花树萝卜
Agapetes lobbii,深裂树萝卜
Agapetes macrophylla,大叶树萝卜
Agapetes malipoensis,麻栗坡树萝卜
Agapetes mannii,白花树萝卜
Agapetes marginata,边脉树萝卜
Agapetes medogensis,墨脱树萝卜
Agapetes megacarpa,大果树萝卜
Agapetes miniata,朱红树萝卜
Agapetes miranda,坛花树萝卜
Agapetes mitrarioides,亮红树萝卜
Agapetes neriifolia,夹竹桃叶树萝卜
Agapetes nutans,垂花树萝卜
Agapetes oblonga,长圆叶树萝卜
Agapetes obovata,倒卵叶树萝卜
Agapetes pensilis,倒挂树萝卜
Agapetes pilifera,钟花树萝卜
Agapetes praeclara,藏布江树萝卜
Agapetes praestigiosa,听邦树萝卜
Agapetes pseudogriffithii,杯梗树萝卜
Agapetes pubiflora,毛花树萝卜
Agapetes pyrolifolia,鹿蹄草叶树萝卜
Agapetes refracta,折瓣树萝卜
Agapetes rubrobracteata,红苞树萝卜
Agapetes salicifolia,柳叶树萝卜
Agapetes serpens,五翅莓
Agapetes spissa,丛生树萝卜
Agapetes subsessilifolia,近无柄树萝卜
Agapetes xiana,念和树萝卜
Agapetes xizangensis,西藏树萝卜
Agapetes yingjiangensis,盈江树萝卜
Andromeda polifolia,青姬木
Arctous alpinus,北极果
Arctous microphyllus,小叶当年枯
Arctous ruber,红北极果
Cassiope abbreviata,短梗岩须
Cassiope argyrotricha,银毛岩须
Cassiope fastigiata,扫帚岩须
Cassiope fujianensis,福建岩须
Cassiope membranifolia,膜叶岩须
Cassiope myosuroides,鼠尾岩须
Cassiope nana,矮小岩须
Cassiope palpebrata,朝天岩须
Cassiope pectinata,篦叶岩须
Cassiope selaginoides,岩须
Cassiope wardii,长毛岩须
Chamaedaphne calyculata,地桂
Cheilotheca crocea,橙黄假水晶兰
Chimaphila japonica,喜冬草
Chimaphila monticola,川西喜冬草
Chimaphila monticola subsp. taiwaniana,台湾喜冬草
Chimaphila umbellata,伞形喜冬草
Craibiodendron henryi,柳叶金叶子
Craibiodendron scleranthum var. kwangtungense,广东金叶子
Craibiodendron stellatum,金叶子
Craibiodendron yunnanense,云南金叶子
Diplarche multiflora,杉叶杜
Diplarche pauciflora,少花杉叶杜
Empetrum nigrum,岩高兰
