Acrobolbus,顶苞苔属
Frullania valida,硬叶耳叶苔
Frullania wangii,圆基耳叶苔
Frullania yunnanensis,云南耳叶苔
Frullania yunnanensis var. siamensis,密叶云南耳叶苔
Frullania yunnanensis var. yunnanensis,云南耳叶苔(原变种)
Frullania yuzawana,汤泽耳叶苔
Frullania zangii,半圆耳叶苔
Frullania zhenjingensis,浙江耳叶苔
Geocalyx,地萼苔属
Geocalyx lancistipulus,狭叶地萼苔
Apomarsupella,类钱袋苔属
Cryptocoleopsis,拟隐苞苔属
Gymnomitrion,全萼苔属
Marsupella,钱袋苔属
Nardia,被蒴苔属
Prasanthus,穗枝苔属
Apomarsupella crystallocaulon,疣茎类钱袋苔
Apomarsupella revoluta,类钱袋苔
Apomarsupella rubida,红色卷叶类钱袋苔
Apomarsupella verrucosa,粗疣类钱袋苔
Cryptocoleopsis imbricata,拟隐苞苔
Gymnomitrion concinnatum,全萼苔
Gymnomitrion laceratum,附基全萼苔
Gymnomitrion sinense,中华全萼苔
Marsupella alpina,高山钱袋苔
Marsupella brevissima,矮钱袋苔
Marsupella commutata,锐裂钱袋苔
Marsupella condensata,簇丛钱袋苔
Marsupella emarginata,钱袋苔
Marsupella pseudofunckii,假冯氏钱袋苔
Marsupella sprucei,黑钱袋苔
Marsupella yakushimensis,东亚钱袋苔
Nardia assamica,南亚被蒴苔
Nardia compressa,被蒴苔
Nardia japonica,东亚被蒴苔
Nardia leptocaulis,细茎被蒴苔
Nardia macroperiantha,大萼被蒴苔
Nardia scalaris,密叶被蒴苔
Nardia subclavata,拟瓢叶被蒴苔
Prasanthus suecicus,穗枝苔
Haplomitrium,裸蒴苔属
Haplomitrium blumei,爪哇裸蒴苔
Haplomitrium hookeri,裸蒴苔
Haplomitrium mnioides,圆叶裸蒴苔
Haplomitrium mnioides var. delicatum,纤枝圆叶裸蒴苔
Haplomitrium mnioides var. mnioides,圆叶裸蒴苔(原变种)
Harpanthus,镰萼苔属
Harpanthus flotovianus,镰萼苔
Harpanthus scutatus,盾叶镰萼苔
Herbertus,剪叶苔属
Herbertus aduncus,剪叶苔
Herbertus aduncus subsp. aduncus,剪叶苔(原亚种)
Herbertus aduncus subsp. tenuis,纤细剪叶苔
Herbertus armitanus,钝角剪叶苔
Herbertus ceylanicus,南亚剪叶苔
Herbertus dicranus,长角剪叶苔
Herbertus fragilis,脆剪叶苔
Herbertus gaochienii,高氏剪叶苔
Herbertus guangdongii,海南剪叶苔
Herbertus herpocladioides,卵叶剪叶苔
Herbertus huerlimannii,红枝剪叶苔
Herbertus kurzii,细指剪叶苔
Herbertus longifissus,长肋剪叶苔
Herbertus longispinus,长刺剪叶苔
Herbertus parisii,长茎剪叶苔
Herbertus ramosus,多枝剪叶苔
Herbertus sendtneri,短叶剪叶苔
Hygrobiella,长胞苔属
Hygrobiella laxifolia,长胞苔
Jackiella,甲克苔属
Jackiella javanica,甲克苔
Jackiella sinensis,中华甲克苔
Jubula,毛耳苔属
Nipponolejeunea,日鳞苔属
Jubula japonica,日本毛耳苔
Jubula javanica,爪哇毛耳苔
Jubula kwangsiensis,广西毛耳苔
Nipponolejeunea pilifera,日鳞苔
Nipponolejeunea subalpina,亚高山日鳞苔
Delavayella,侧囊苔属
Eremonotus,湿生苔属
Jungermannia,叶苔属
Liochlaena,狭叶苔属
Mesoptychia,褶叶苔属
Xenochila,黄羽苔属
Delavayella serrata,侧囊苔
Eremonotus myriocarpus,湿生苔
Jungermannia atrovirens,深绿叶苔
Jungermannia conchata,耳状叶苔
Jungermannia exsertifolia,长萼叶苔
Jungermannia exsertifolia subsp. cordifolia,心叶长萼叶苔
Jungermannia exsertifolia subsp. exsertifolia,长萼叶苔(原亚种)
Jungermannia orbicularifolia,圆叶叶苔
Jungermannia parviperiantha,小萼叶苔
Jungermannia pumila,矮细叶苔
Jungermannia radicellosa,垂根叶苔
Jungermannia sparsofolia,疏叶叶苔
Liochlaena lanceolata,狭叶苔
Liochlaena sichuanica,四川狭叶苔
Liochlaena subulata,锥叶狭叶苔
Mesoptychia bantriensis,方叶无褶苔
Mesoptychia chichibuensis,秩父无褶苔
Mesoptychia collaris,小无褶苔
Mesoptychia heterocolpos,异沟无褶苔
Mesoptychia igiana,粗疣无褶苔
Mesoptychia morrisoncola,玉山无褶苔
Xenochila integrifolia,黄羽苔
Acanthocoleus,刺鳞苔属
Acrolejeunea,顶鳞苔属
Caudalejeunea,尾鳞苔属
Ceratolejeunea,角萼苔属
Cheilolejeunea,唇鳞苔属
Cololejeunea,疣鳞苔属
Colura,管叶苔属
Dactylophorella,棘鳞苔属
Diplasiolejeunea,双鳞苔属
Drepanolejeunea,角鳞苔属
Frullanoides,拟耳叶苔属
Gaolejeunea,高鳞苔属
Gradsteinianthus,格氏苔属
Harpalejeunea,镰叶苔属
Lejeunea,细鳞苔属
Lepidolejeunea,指鳞苔属
Leptolejeunea,薄鳞苔属
Lopholejeunea,冠鳞苔属
Mastigolejeunea,鞭鳞苔属
Metalejeunea,假细鳞苔属
Microlejeunea,纤鳞苔属
Otolejeunea,耳鳞苔属
Phaeolejeunea,黑鳞苔属
Ptychanthus,皱萼苔属
Pycnolejeunea,密鳞苔属
Schiffneriolejeunea,尼鳞苔属
Soella,苏鳞苔属
Spruceanthus,多褶苔属
Thysananthus,毛鳞苔属
Tuyamaella,鞍叶苔属
Tuzibeanthus,异鳞苔属
Vitalianthus,油肋苔属
Acanthocoleus yoshinaganus,东亚刺鳞苔
Acrolejeunea arcuata,弯叶顶鳞苔
Acrolejeunea infuscata,浅棕瓦鳞苔
Acrolejeunea polymorphus,多形顶鳞苔
Acrolejeunea pusilla,细体顶鳞苔
Acrolejeunea pycnoclada,远齿顶鳞苔
Acrolejeunea recurvata,折叶顶鳞苔
Acrolejeunea sandvicensis,南亚瓦鳞苔
Acrolejeunea securifolia,竖叶顶鳞苔
Acrolejeunea securifolia subsp. hartmannii,细齿竖叶顶鳞苔
Acrolejeunea sikkimensis,锡金顶鳞苔
Acrolejeunea sinensis,中华瓦鳞苔
Caudalejeunea reniloba,肾瓣尾鳞苔
Ceratolejeunea belangeriana,台湾角萼苔
Ceratolejeunea minor,小角萼苔
Cheilolejeunea ceylanica,锡兰唇鳞苔
Cheilolejeunea chenii,陈氏唇鳞苔
Cheilolejeunea eximia,阔齿唇鳞苔
Cheilolejeunea falsinervis,假肋唇鳞苔
Cheilolejeunea intertexta,圆叶唇鳞苔
Cheilolejeunea kitagawae,异苞白鳞苔
Cheilolejeunea krakakammae,亚洲唇鳞苔
Cheilolejeunea mariana,全缘唇鳞苔
Cheilolejeunea nipponica,日本唇鳞苔
Cheilolejeunea obtusifolia,钝叶唇鳞苔
Cheilolejeunea obtusilobuda,钝瓣唇鳞苔
Cheilolejeunea orientalis,东方唇鳞苔
Cheilolejeunea osumiensis,大隅唇鳞苔
Cheilolejeunea pluriplicata,多脊唇鳞苔
Cheilolejeunea ryukyuensis,琉球唇鳞苔
Cheilolejeunea serpentina,匍匐唇鳞苔
Cheilolejeunea subopaca,尖叶唇鳞苔
Cheilolejeunea trapezia,粗茎唇鳞苔
Cheilolejeunea trifaria,阔叶唇鳞苔
Cheilolejeunea turgida,粗白鳞苔
Cheilolejeunea ventricosa,膨叶唇鳞苔
Cheilolejeunea verrucosa,疣胞唇鳞苔
Cheilolejeunea vittata,南亚唇鳞苔
Cheilolejeunea xanthocarpa,白鳞苔
Cololejeunea aequabilis,耳萼疣鳞苔
Cololejeunea albodentata,刺边疣鳞苔
Cololejeunea angustifolia,狭叶疣鳞苔
Cololejeunea appressa,薄叶疣鳞苔
Cololejeunea bhutanica,不丹疣鳞苔
Cololejeunea ceratilobula,日本疣鳞苔
Cololejeunea ceylanica,锡兰疣鳞苔
Cololejeunea chenii,陈氏疣鳞苔
